file_name,file_path,page,vendor_name,ticket_number,ROI Image Link
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,21,CorpoTechs,N.,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,19,CorpoTechs,11049,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,27,CorpoTechs,17689,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,26,Roadstar,219229,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,29,Portillo,302223,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,28,CorpoTechs,11872,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,31,CorpoTechs,014395,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,32,CorpoTechs,11048,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,30,Roadstar,200444,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,33,CorpoTechs,08591,View ROI
24-105_2025-06-23_Class2_Podium_WM_377.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-23/export/24-105_2025-06-23_Class2_Podium_WM_377.pdf,37,Portillo,309327,View ROI
