file_name,file_path,page,vendor_name,ticket_number,ROI Image Link
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,27,Roberts,1221104,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,31,Tarango,630846,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,33,Tarango,671964,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,26,Tarango,628615,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,28,Tarango,630857,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,32,Tarango,629833,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,25,Tarango,629493,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,24,Tarango,629731,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,29,Tarango,629895,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,34,Tarango,630732,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,35,Tarango,617291,View ROI
24-105_2025-06-25_Class2_Podium_WM_412.pdf,C:/Users/brian.atkins/OneDrive - Lindamood Demolition/24-105 PHMS NPC - Documents/truck tickets/2025-06-25/export/24-105_2025-06-25_Class2_Podium_WM_412.pdf,36,Tarango,630856,View ROI
